ID_ETUDIANT|CIVILITE_ETUDIANT|NOM_ETUDIANT|PREN_ETUDIANT|CD_POSTAL_ETUDIANT|VILLE_ETUDIANT
ET001|Monsieur|Toby|Senadin|94109|San Francisco
ET002|Monsieur|Toby|Eleomon|10024|New York City
ET003|Madame|Toby|Elorane|77041|Houston
ET004|Monsieur|Todd|Herv|30328|Sandy Springs
ET005|Monsieur|Todd|Bruy|77041|Houston
ET006|Monsieur|Larry|Azzaddin|77041|Houston
ET007|Madame|Todd|Cimento|10009|New York City
ET008|Monsieur|Todd|Lug|60623|Chicago
ET009|Madame|Todd|Saintelia|19805|Wilmington
ET010|Madame|Todd|Shafiq|85023|Phoenix
ET011|Madame|Tom|Edoth|10035|New York City
ET012|Madame|Tom|Muyemba|60653|Chicago
ET013|Monsieur|Tom|Mans|10024|New York City
ET014|Monsieur|Tom|Bewale|74133|Tulsa
ET015|Madame|Tom|Allone|98105|Seattle
ET016|Madame|Katherine|Gwelaouen|98105|Seattle
ET017|Madame|Tom|Rusheda|33180|Miami
ET018|Madame|Tom|Quintero|11520|Freeport
ET019|Madame|Tom|Ludomira|75081|Dallas
ET020|Monsieur|Tom|Sevar|98115|Seattle
ET021|Monsieur|Tom|Afoerinwa|90045|Los Angeles
ET022|Madame|Tom|Jhoane|19601|Reading
ET023|Monsieur|Tom|Menaouer|73120|Oklahoma City
ET024|Monsieur|Tonja|Rafeh|60505|Aurora
